---------------/api/resource---------------
Counter=1Joins=1 Response Time = 123 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 112 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 122 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 118 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 114 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 125 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 120 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 132 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 128 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 130 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 108 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=100Joins=1 Response Time = 310 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 141 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 133 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 126 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 132 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 129 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 165 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 129 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 126 ms | ResponseCode : 200
